18:29:49:451 [ALWAYS]	GUDE Logging Started
18:29:49:452 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:29:49:452 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:29:49:452 [ERROR]	Initialize resume cache pointer failure
18:29:49:452 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
18:29:49:452 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
18:29:52:140 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
18:29:52:141 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
18:29:52:141 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
18:29:52:141 [ERROR]	Initialize resume cache pointer failure
18:29:52:141 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
18:29:52:141 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
